StationCode,Ambl_ra,Ammo_,Anar_de,Anar_lu,Anar_mi,Arct_ri,Arge_si,Arte_at,Bore_sa,Bros_br,Capr_sp,Clup_ha,Cott_mi,Ente_ae,Eumi_sp,Gadi_ar,Gadu_mo,Hipp_pl,Icel_sp,Lept_de,Lept_ma,Lump_la,Lyco_es,Lyco_eu,Lyco_gr,Lyco_pa,Lyco_re,Lyco_ro,Mall_vi,Mela_ae,Micr_po,Micr_ki,Poll_vi,Raje_fy,Rein_hi,Seba_ma,Seba_me,Seba_vi,Trig_mu,Trig_pi,Tris_es
2006-GS-270,0,0,0,30,0,0,0,0,0,24,0,0,0,4,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,113,100,0,10,0,0,0,0,66,0,0,4818
2006-GS-271,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,41,14,0,0,0,0,0,0,0,0,0,0,0,63,0,0,4,0,0,17,0,27,0,1,26
2006-GS-275,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,67,8570,0,0,0,0,0,10,0,0,0,0
2006-GS-277,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,3,0,0,0,0,112,720,0,0,1,0,3,0,0,0,0,13
2006-GS-278,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,12,13,12,0,0,0,0,0,0,12,0,0,0,0,551,12271,0,0,0,0,0,0,2,0,0,160
2006-GS-280,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,28,1936,0,0,0,0,0,26,3,0,0,0
2006-GS-282,1,0,0,0,0,0,7,5,0,2,0,0,0,0,0,0,6,26,0,0,0,0,0,0,7,0,0,0,0,59,1373,0,8,0,0,8,25,2,0,0,16
2006-GS-284,0,0,0,0,1,0,13,8,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,11,0,0,0,0,26,10847,0,1,3,0,0,10,18,0,0,0
2006-GS-286,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,40,9,0,0,0,0,0,0,0,0,0,0,0,269,1591,0,0,0,0,1,0,1,0,0,237
2006-GS-288,1,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,20,36,0,0,0,0,0,0,8,0,0,0,0,592,55,0,0,0,0,1,50,0,0,0,595
